epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7223.68,0.81357,0.67316,1.06817,0.84446,0.77302,0.85606,0.67487,0.73033,0.59786,0.99389,0.000990365,0.000990365,0.000990365
43,7397.09,0.81059,0.67817,1.0683,0.85793,0.76798,0.86011,0.67288,0.73778,0.60634,1.00197,0.000973861,0.000973861,0.000973861
44,7567.66,0.79518,0.65688,1.05943,0.85317,0.76188,0.85993,0.67756,0.73325,0.60619,0.99035,0.000957358,0.000957358,0.000957358
45,7741.04,0.79806,0.6541,1.05796,0.84603,0.77737,0.86021,0.67746,0.72599,0.59781,0.99285,0.000940855,0.000940855,0.000940855
46,7914.26,0.79279,0.64687,1.05735,0.86398,0.75161,0.84989,0.67045,0.72816,0.60152,0.99924,0.000924352,0.000924352,0.000924352
47,8083.51,0.78685,0.64363,1.0566,0.85399,0.77425,0.86647,0.68258,0.72928,0.58673,0.99737,0.000907848,0.000907848,0.000907848
48,8249.75,0.79298,0.64386,1.05606,0.85731,0.78063,0.86627,0.68283,0.73518,0.57016,0.99954,0.000891345,0.000891345,0.000891345
49,8420.29,0.78625,0.64227,1.05446,0.85847,0.78553,0.8695,0.68699,0.71749,0.57075,0.9894,0.000874842,0.000874842,0.000874842
50,8590.62,0.78429,0.63442,1.05502,0.85534,0.77575,0.86528,0.68092,0.72657,0.58044,1.00219,0.000858338,0.000858338,0.000858338
51,8757.95,0.77873,0.62335,1.0463,0.84603,0.78525,0.87208,0.68583,0.72908,0.57179,1.00132,0.000841835,0.000841835,0.000841835
52,8927.58,0.7782,0.62319,1.05144,0.85769,0.79123,0.87655,0.69439,0.72086,0.55591,0.99167,0.000825332,0.000825332,0.000825332
53,9099.38,0.77654,0.62024,1.0478,0.85548,0.78176,0.87229,0.6881,0.72109,0.56916,0.99289,0.000808828,0.000808828,0.000808828
54,9272.89,0.76865,0.61434,1.04524,0.85839,0.77802,0.86792,0.68553,0.71846,0.57301,0.99424,0.000792325,0.000792325,0.000792325
55,9450.28,0.77033,0.61575,1.0429,0.8581,0.80045,0.88044,0.69628,0.71689,0.55851,0.98846,0.000775822,0.000775822,0.000775822
56,9626.16,0.76699,0.61285,1.04147,0.86212,0.79867,0.87158,0.69346,0.71796,0.5642,0.98611,0.000759318,0.000759318,0.000759318
57,118.652,0.77159,0.6142,1.04381,0.88576,0.75978,0.86944,0.6924,0.71158,0.57429,0.98748,0.000742815,0.000742815,0.000742815
58,232.485,0.76641,0.60012,1.04687,0.83977,0.78386,0.8637,0.68963,0.7241,0.58486,0.98764,0.000726312,0.000726312,0.000726312
59,346.477,0.76594,0.59847,1.04239,0.83794,0.77732,0.85985,0.67769,0.7439,0.60694,0.99681,0.000709809,0.000709809,0.000709809
60,460.039,0.7502,0.59121,1.03874,0.85262,0.75457,0.84673,0.66398,0.73273,0.61372,0.99206,0.000693305,0.000693305,0.000693305
61,574.913,0.75141,0.59456,1.03745,0.86197,0.75991,0.86281,0.68868,nan,nan,nan,0.000676802,0.000676802,0.000676802
62,692.274,0.74832,0.58277,1.03638,0.83235,0.74751,0.82261,0.64133,0.76357,0.71809,1.00725,0.000660299,0.000660299,0.000660299
